[2021-03-28 22:14:57.108] [file] [info] Device Extension: VK_EXT_tooling_info (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 22:14:57.110] [file] [info] Device Extension: VK_EXT_transform_feedback (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 22:14:57.111] [file] [info] Device Extension: VK_EXT_vertex_attribute_divisor (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.3
[2021-03-28 22:14:57.111] [file] [info] Device Extension: VK_EXT_ycbcr_image_arrays (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 22:14:57.111] [file] [info] Device Extension: VK_NV_clip_space_w_scaling (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 22:14:57.112] [file] [info] Device Extension: VK_NV_compute_shader_derivatives (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 22:14:57.112] [file] [info] Device Extension: VK_NV_corner_sampled_image (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
[2021-03-28 22:14:57.113] [file] [info] Device Extension: VK_NV_coverage_reduction_mode (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 22:14:57.113] [file] [info] Device Extension: VK_NV_dedicated_allocation (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 22:14:57.114] [file] [info] Device Extension: VK_NV_dedicated_allocation_image_aliasing (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.1
[2021-03-28 22:14:57.114] [file] [info] Device Extension: VK_NV_device_diagnostic_checkpoints (C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1c83a5d7cffd7bff\.\nvoglv64.dll) version 0.0.2
